"","boot","e_lag1","int_e_lag1","c_lag1","int_c_lag1","e_lag2","int_e_lag2","c_lag2","int_c_lag2","e_lag3","int_e_lag3","c_lag3","int_c_lag3","e_lag4","int_e_lag4","c_lag4","int_c_lag4","e_lag5","int_e_lag5","c_lag5","int_c_lag5","e_lag6","int_e_lag6","c_lag6","int_c_lag6","pop","StringencyIndex_Average"
"11",11,0.128888517060824,-0.116674162407412,-0.0663454287679138,-0.0673013723894221,-0.189762792705741,0.136244243171509,-0.0744305517953028,0.638651146491324,0.16104110355567,-0.266043700783489,0.611238582089749,-0.796834284539202,-0.238847040271031,0.21648419279174,-0.0912710694632239,-0.590889879715997,-0.152741367635582,0.294914159239501,-0.953987875960008,1.72453412998891,0.0603891503085468,-0.291438093705526,1.14949549972401,-1.32988906925559,5.63947115676217,-0.0170520249195223
"12",12,0.853988695102209,-1.16260414326435,-0.777710857708667,1.16809829792027,1.89347226555786,-2.8423855913097,0.953866523711605,-1.12152616173893,1.3670223993619,-1.90785407857394,-0.535797777771811,0.874447204535229,-0.853559176217855,1.16493117793568,-0.0255676041273316,-0.499812756793611,1.07793834809086,-1.42044512590576,-0.524664384723897,0.937659445770597,-0.594822754944003,0.827434276957974,0.244628028607388,-0.0228181482035806,10.180710371942,-0.00989787636478182
"13",13,0.859098992766335,-1.15483021716344,-0.608196297487645,0.870219105201824,1.2688192376743,-1.95615974343361,0.712938760388932,-0.687978389425049,1.20485205905266,-1.73384502339523,-0.321899300022299,0.515860214152111,-0.605019497300343,0.860629949637719,0.178288090910084,-0.818165541408376,0.866903797703953,-1.15495247898651,-1.50124197612983,2.37314401428053,-0.0332226646340431,0.0238990145530183,0.579158162409133,-0.484422972477995,7.62694528964424,-0.0130541742402459
"14",14,0.425251035698689,-0.603933751933849,-0.498892077108451,0.629319105224501,0.568699145460718,-0.833715081165621,0.533321839570502,-0.260175092440836,0.64615124820661,-1.08389642162516,-0.111714500900253,0.236007261386936,-0.102775168577805,0.0552333613815296,0.341690862270792,-1.01259289701613,0.822266555916726,-1.11399637183518,-0.687613064389346,1.05425726235298,0.13184932634574,-0.37346023187548,0.915091756295224,-0.881778102359797,4.86576778344956,-0.0120143449749083
"15",15,0.266023300931306,-0.410210912893011,-0.560841513451988,0.634930715209119,0.829327498966291,-1.15200250483282,0.480557198575434,-0.133788243447592,1.02880879984206,-1.63563453923527,-0.0266117057141904,0.0485146365715855,-0.322079714349699,0.421621691156713,0.412888688872565,-1.13409769693477,1.44149686323212,-1.93895026421813,-1.04213725726098,1.59357264868011,-0.166181928953677,0.00787572963782518,1.01020167829388,-1.00346278287971,9.60304127987002,-0.0138579096430821
"16",16,-0.199808557521683,0.331221685282725,-0.463321013589303,0.548486576930278,1.04718635005898,-1.48336081780633,0.234418929747975,0.178696021581288,0.559743969296533,-0.836143911551831,-0.156404638754688,0.270956074440507,-0.30454030682938,0.339146007163393,0.404563663093326,-1.19889452355489,1.42755953209187,-1.83257638060799,-1.32273411276431,2.11325017584786,-0.369679735220445,0.341251512095635,0.824724297334159,-0.853074302289658,7.42469804003605,-0.0103172328598468
"17",17,0.17819362111214,-0.347152544954791,-1.1226999962722,1.5166393449635,1.81226617671935,-2.69005695967874,0.80018292711958,-0.611071792672442,1.00893806751983,-1.62704538728495,-0.407315965559442,0.498127777032116,-1.04800376475791,1.59766646511508,0.641317696070716,-1.41025524964558,1.68375112400536,-2.32165035950258,-2.26445797380542,3.50345598267248,-0.935289036940725,1.225891090759,0.925398385313691,-0.906367729584297,6.05254607933127,-0.0151633198990193
"18",18,0.216535221645334,-0.257352230138289,-0.301476501387348,0.421444466527772,0.848348303515964,-1.30827642647186,0.24753650094246,0.0241833082270763,0.422298814500065,-0.563412060938885,-0.189263346830766,0.40277049203442,0.0185586976400952,-0.151297131218208,0.552763742561643,-1.35627195033607,0.691866161535468,-0.85520490093098,-1.01035371547069,1.57914816677142,0.0502760376558736,-0.167119481664646,0.920205746426372,-0.952420924787791,7.1689234729689,-0.00766874443374427
"19",19,0.28963805453151,-0.417458009073077,-0.430412661438568,0.471083258743141,0.972670750964219,-1.33087709536178,0.495418466118475,-0.190286802733083,0.928080594872249,-1.45640706879542,-0.258842488103395,0.447261876087394,-0.21835799349473,0.25328448834815,0.568238527318829,-1.36917939977499,1.37974826123589,-1.82188658254469,-1.08640515460449,1.61805316477015,-0.0826727887156673,-0.0721306573986259,1.03518691285052,-1.04220761089377,2.58644133964433,-0.0133252744745286
"20",20,0.231832299721246,-0.28318570723724,-1.01649900337843,1.35946361793193,1.31153428730093,-1.90286451315359,0.79845653257741,-0.718372355322911,0.673540464375714,-0.979879058627268,-0.00200748255134063,0.0847010211063012,-0.819069112158664,1.05776536731945,0.267563416755821,-0.984593281338195,0.946413779483751,-1.17401037102214,-1.31059674249344,2.10934042464856,-0.80980855436737,0.969597704852563,1.19450539100639,-1.33746573315085,13.4798485290152,-0.016572058451755
